_id,startTime,endTime,instrument,instrument_id,ins_id_ex
65868f78f30b23a817da9e9f,2018-10-12,2018-11-05,AL,AL1812,al1812
65868f78f30b23a817da9ea0,2018-11-06,2018-12-10,AL,AL1901,al1901
65868f78f30b23a817da9ea1,2018-12-11,2019-01-04,AL,AL1902,al1902
65868f78f30b23a817da9ea2,2019-01-07,2019-02-19,AL,AL1903,al1903
65868f78f30b23a817da9ea3,2019-02-20,2019-04-17,AL,AL1905,al1905
65868f78f30b23a817da9ea4,2019-04-18,2019-05-15,AL,AL1906,al1906
65868f78f30b23a817da9ea5,2019-05-16,2019-06-12,AL,AL1907,al1907
65868f78f30b23a817da9ea6,2019-06-13,2019-07-16,AL,AL1908,al1908
65868f78f30b23a817da9ea7,2019-07-17,2019-08-08,AL,AL1909,al1909
65868f78f30b23a817da9ea8,2019-08-09,2019-09-10,AL,AL1910,al1910
65868f78f30b23a817da9ea9,2019-09-11,2019-10-10,AL,AL1911,al1911
65868f78f30b23a817da9eaa,2019-10-11,2019-11-13,AL,AL1912,al1912
65868f78f30b23a817da9eab,2019-11-14,2019-12-11,AL,AL2001,al2001
65868f78f30b23a817da9eac,2019-12-12,2020-01-10,AL,AL2002,al2002
65868f78f30b23a817da9ead,2020-01-13,2020-02-14,AL,AL2003,al2003
65868f78f30b23a817da9eae,2020-02-17,2020-03-05,AL,AL2004,al2004
65868f78f30b23a817da9eaf,2020-03-06,2020-04-01,AL,AL2005,al2005
65868f78f30b23a817da9eb0,2020-04-02,2020-04-30,AL,AL2006,al2006
65868f78f30b23a817da9eb1,2020-05-06,2020-06-17,AL,AL2007,al2007
65868f78f30b23a817da9eb2,2020-06-18,2020-07-28,AL,AL2008,al2008
65868f78f30b23a817da9eb3,2020-07-29,2020-08-26,AL,AL2009,al2009
65868f78f30b23a817da9eb4,2020-08-27,2020-09-24,AL,AL2010,al2010
65868f78f30b23a817da9eb5,2020-09-25,2020-10-29,AL,AL2011,al2011
65868f78f30b23a817da9eb6,2020-10-30,2020-11-25,AL,AL2012,al2012
65868f78f30b23a817da9eb7,2020-11-26,2020-12-22,AL,AL2101,al2101
65868f78f30b23a817da9eb8,2020-12-23,2021-01-11,AL,AL2102,al2102
65868f78f30b23a817da9eb9,2021-01-12,2021-02-18,AL,AL2103,al2103
65868f78f30b23a817da9eba,2021-02-19,2021-03-12,AL,AL2104,al2104
65868f78f30b23a817da9ebb,2021-03-15,2021-04-15,AL,AL2105,al2105
65868f78f30b23a817da9ebc,2021-04-16,2021-05-17,AL,AL2106,al2106
65868f78f30b23a817da9ebd,2021-05-18,2021-06-18,AL,AL2107,al2107
65868f78f30b23a817da9ebe,2021-06-21,2021-07-20,AL,AL2108,al2108
65868f78f30b23a817da9ebf,2021-07-21,2021-08-18,AL,AL2109,al2109
65868f78f30b23a817da9ec0,2021-08-19,2021-09-13,AL,AL2110,al2110
65868f78f30b23a817da9ec1,2021-09-14,2021-10-15,AL,AL2111,al2111
65868f78f30b23a817da9ec2,2021-10-18,2021-11-15,AL,AL2112,al2112
65868f78f30b23a817da9ec3,2021-11-16,2021-12-16,AL,AL2201,al2201
65868f78f30b23a817da9ec4,2021-12-17,2022-01-14,AL,AL2202,al2202
65868f78f30b23a817da9ec5,2022-01-17,2022-02-21,AL,AL2203,al2203
65868f78f30b23a817da9ec6,2022-02-22,2022-03-15,AL,AL2204,al2204
65868f78f30b23a817da9ec7,2022-03-16,2022-04-19,AL,AL2205,al2205
65868f78f30b23a817da9ec8,2022-04-20,2022-05-20,AL,AL2206,al2206
65868f78f30b23a817da9ec9,2022-05-23,2022-06-21,AL,AL2207,al2207
65868f78f30b23a817da9eca,2022-06-22,2022-07-20,AL,AL2208,al2208
65868f78f30b23a817da9ecb,2022-07-21,2022-08-25,AL,AL2209,al2209
65868f78f30b23a817da9ecc,2022-08-26,2022-09-26,AL,AL2210,al2210
65868f78f30b23a817da9ecd,2022-09-27,2022-10-26,AL,AL2211,al2211
65868f78f30b23a817da9ece,2022-10-27,2022-11-23,AL,AL2212,al2212
65868f78f30b23a817da9ecf,2022-11-24,2022-12-22,AL,AL2301,al2301
65868f78f30b23a817da9ed0,2022-12-23,2023-01-11,AL,AL2302,al2302
65868f78f30b23a817da9ed1,2023-01-12,2023-02-20,AL,AL2303,al2303
65868f78f30b23a817da9ed2,2023-02-21,2023-03-20,AL,AL2304,al2304
65868f78f30b23a817da9ed3,2023-03-21,2023-04-18,AL,AL2305,al2305
65868f78f30b23a817da9ed4,2023-04-19,2023-05-18,AL,AL2306,al2306
65868f78f30b23a817da9ed5,2023-05-19,2023-06-26,AL,AL2307,al2307
